name,latitude,longitude,free_bikes,empty_slots,number_of_bikes
York at Macnab,43.25901059433612,-79.86919194459914,3,0,3
McMaster Stadium,43.26462232214244,-79.91868138313293,12,0,12
Barton and Belview - ERI05,43.252910500996364,-79.82217215001583,6,3,9
Barton at Ottawa - ERI06,43.25147804372769,-79.81602117419243,2,5,7
King at Mary,43.25519606248058,-79.86437804996967,6,1,7
Cumberland at Blake ,43.24333095563425,-79.84050840139389,2,4,6
Main at Eastbourne,43.24814116192469,-79.84201848506926,8,3,11
Stinson at Blythe,43.2480282225403,-79.8550984051804,7,4,11
Wentworth Stairs,43.24487936776345,-79.85186353325844,6,8,14
Ferguson at King William,43.2551792486624,-79.8614431097373,7,3,10
Ferguson at Cannon,43.2587508364231,-79.8598228455297,1,7,8
Victoria at Barton,43.26124519046125,-79.853318631649,9,0,9
Mars at Wentworth - ERI01,43.26534015820083,-79.84364993870258,5,4,9
Sherman at Barton - ERI02,43.25632467316046,-79.83628392219543,8,1,9
Barton at Lottridge - ERI03,43.2552894386678,-79.83144521713257,3,5,8
Corktown Park,43.2492552510953,-79.8641461491451,6,8,14
Hunter at Ferguson,43.251798383773966,-79.86318781971931,3,7,10
Athletic Centre Bike Racks,43.26471509784132,-79.91574570536613,16,4,20
Main and Wellington,43.25281814686537,-79.86008584499359,5,1,6
McMaster Student Centre,43.26274333966465,-79.91714715957642,37,0,37
George Street,43.25851444036409,-79.87894982099533,1,6,7
Hughson at Picton,43.2701169222876,-79.861626657542,5,7,12
Discovery Drive,43.27606684636728,-79.86029773950577,1,24,25
Ainslie at Emerson,43.2495181157076,-79.9234422627427,8,4,12
Catharine at Young,43.2496648107707,-79.8677950761702,7,5,12
Main at Macnab,43.25586951986928,-79.87145036458969,7,5,12
Eastwood Arena,43.271621271914,-79.856711442486,6,7,13
Hunter at Park,43.2543192007999,-79.8733946157064,5,5,10
Aberdeen at Studholme,43.2526283084979,-79.899692892407,4,9,13
Ferguson at Barton,43.262056982995,-79.8582423171631,6,4,10
Ferrie at Furguson,43.266617945064255,-79.85489845275879,5,2,7
Belview at Cannon - ERI12,43.248928499066146,-79.82342541217804,3,6,9
Tisdale at Main,43.25191559879094,-79.85307991504669,2,8,10
Maple at Rothsay - ERI08,43.24216273334376,-79.8250025510788,3,6,9
Queen at George,43.25812181171754,-79.8793575167656,3,3,6
Augusta at John,43.251632328780424,-79.86898005008698,3,6,9
Ottawa at Dunsmure - ERI07,43.2444465978823,-79.81923043727875,5,4,9
Cootes at York and King,43.26558132306987,-79.94965553283691,10,5,15
James at Vine,43.25971184443275,-79.86767515540123,2,9,11
Charlton at Locke,43.25332704523968,-79.886634349823,6,1,7
Locke at Herkimer,43.252499716928924,-79.88658607006073,4,1,5
King William at Hughson,43.2569048421661,-79.86643463373184,4,0,4
Barton at Wentworth,43.25893246012055,-79.8449581861496,3,7,10
Charlton at Queen,43.25200741706332,-79.88158643245697,1,9,10
Duke at James,43.25163037518954,-79.87135380506516,1,5,6
Beasley Park,43.25891916811838,-79.86106485128403,3,6,9
John near King,43.25652795268133,-79.86623145639896,1,5,6
Locke at Hunter,43.256556155396176,-79.88510146737099,8,2,10
King at Barnesdale,43.25124627968789,-79.83547054231167,5,4,9
King at Sherman,43.2513467527978,-79.83823858201504,1,6,7
King at Sanford,43.251884127702,-79.84635829925537,3,5,8
Bay at York,43.25906138152248,-79.87338691949844,7,16,23
Jackson Square,43.25693469264953,-79.86957684159279,2,8,10
Cannon at Steven,43.25646071175471,-79.84998129308224,4,6,10
Pier 4,43.27260051521549,-79.86689731478691,7,22,29
Ferguson at King,43.25400491861888,-79.86223563551903,3,7,10
Durand Park,43.24978615747242,-79.87574994564056,2,13,15
Cannon at East,43.25729552525069,-79.85334813594818,3,6,9
Strachan at Mary,43.265938747249415,-79.86042380332947,4,3,7
West Harbour GO Station,43.26624929442286,-79.86611008644103,6,4,10
James at Guise,43.27365898786445,-79.86182928085327,3,5,8
RBG Rock Garden,43.289479198281,-79.89169299602507,0,14,14
Pier 8,43.27528883070137,-79.85690742731094,1,14,15
Westinghouse at Barton - ERI13,43.25831920066756,-79.84240606427193,4,9,13
James at Colbourne,43.2637774120007,-79.8660421593136,3,10,13
Main at Longwood,43.25960441109783,-79.90210264921188,4,4,8
Van Wagner's Beach,43.26000777328068,-79.7663875669241,5,6,11
King William at James,43.25763541749527,-79.86848652362822,2,4,6
Westdale Village - Paisley,43.26171202317612,-79.90590065717697,0,11,11
Westdale Aviary,43.26486897083389,-79.90748047828674,2,6,8
Cannon at Ottawa,43.2475653052787,-79.8180502653122,3,4,7
