station_name,station_latitude,station_longitude,free_bikes,number_of_bikes,poi_name,poi_categories,poi_address,poi_distance,poi_latitude,poi_longitude,poi_ratings,poi_review_count
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Earth To Table : Bread Bar,Pizza,"258 Locke Street S,Hamilton, ON L8P 4B9,Canada",943.5410000594655,43.25284,-79.88702,4.0,293
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,The Mule,Mexican,"41 King William Street,Hamilton, ON L8R 1A2,Canada",760.3006299294157,43.25726,-79.86713,4.0,177
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Berkeley North,Bars,"31 King William Street,Hamilton, ON L8R 1A1,Canada",738.0331659353692,43.2574045478956,-79.8677145254958,4.5,43
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Radius,Lounges,"151 James Street S,Hamilton, ON L8P 2Z5,Canada",404.2840951361999,43.2523512,-79.8708333,3.0,91
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,The French,Bistros,"37 King William Street,Hamilton, ON L8R 1A1,Canada",756.9525642438531,43.25741,-79.86748,4.0,98
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,The Works,Burgers,"2 King Street W,Unit 230,Hamilton, ON L8P 1A2,Canada",529.2363811393084,43.2574961574363,-79.8712256690338,4.0,37
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",1230.0627426186877,43.2627364,-79.8663839,4.0,118
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,La Luna,Middle Eastern,"306 King Street W,Hamilton, ON L8P 1B1,Canada",670.3268397896815,43.25942165323912,-79.87848757635106,4.0,63
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,One Duke Restaurant,Seafood,"1 Duke Street,Hamilton, ON L8P 1W9,Canada",368.8832201409205,43.25152,-79.87206,3.5,23
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Bronzie's Place,Pizza,"201 James Street S,Hamilton, ON L8P 3A8,Canada",483.71861354948777,43.2505499,-79.87143,4.5,27
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Redchurch Cafe + Gallery,Cafes,"68 King Street E,Hamilton, ON L8N 1A6,Canada",681.5422257744762,43.25551,-79.86725,4.5,23
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,August 8,Japanese,"1 Wilson Street,Suite 12,Hamilton, ON L8R,Canada",919.67237856712,43.25943,-79.86708,4.0,122
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,Indian,"43 King William Street,Hamilton, ON L8R 1A2,Canada",772.7644556670533,43.25725,-79.86708,4.0,40
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Saint James Espresso Bar & Eatery,Cafes,"170 James Street N,Hamilton, ON L8R 2L1,Canada",1051.387659578622,43.26098,-79.86693,4.5,57
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Durand Coffee,Coffee & Tea,"142 Charlton Avenue W,Hamilton, ON L8P,Canada",387.5662588761628,43.2514262245999,-79.8788586258888,4.5,28
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Planted in Hamilton,Vegan,"225 John Street S,Hamilton, ON L8N 2C7,Canada",716.4290838883411,43.2503352762455,-79.8679620207627,4.5,37
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,Ajio Sushi,Japanese,"161 King Street E,Hamilton, ON L8R 1J6,Canada",913.3523831684809,43.21798,-79.74587,4.0,41
Bay at Bold,43.2538302267771,-79.8753935613187,6,11,The Burnt Tongue,Burgers,"182 Locke Street S,Hamilton, ON L8P 4B3,Canada",858.566387643317,43.2555538,-79.8858002,4.5,40
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,The Ship,Seafood,"23 Augusta Street,Hamilton, ON L8N 1P6,Canada",325.5965300669204,43.25215,-79.87,4.0,208
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Bronzie's Place,Pizza,"201 James Street S,Hamilton, ON L8P 3A8,Canada",111.37047679608902,43.2505499,-79.87143,4.5,27
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Hambrgr,Burgers,"49 King William Street,Hamilton, ON L8R 1A2,Canada",940.0071220833928,43.25721,-79.8669,4.5,202
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Radius,Lounges,"151 James Street S,Hamilton, ON L8P 2Z5,Canada",317.78866404934166,43.2523512,-79.8708333,3.0,91
James S at Charlton,43.2496354495324,-79.8720555723035,2,10,Berkeley North,Bars,"31 King William Street,Hamilton, ON L8R 1A1,Canada",932.6804931984552,43.2574045478956,-79.8677145254958,4.5,43
