station_name,station_latitude,station_longitude,free_bikes,empty_slots,number_of_bikes,poi_name,poi_categories,poi_address,poi_distance,poi_latitude,poi_longitude,poi_ratings,poi_total_ratings,poi_total_tips,poi_total_photos
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,Mulberry Street Coffeehouse,Café,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",908,43.261863,-79.866961,4.3,143.0,47.0,122.0
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,City Window & Glass,Doors and Windows Contractor,"208 Queen St N, Hamilton ON L8R 2W3",520,43.265939,-79.875766,,,,
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,AVL Manufacturing,Metals Supplier,"243 Queen St N (Stuart Street), Hamilton ON L8R 3N6",548,43.267462,-79.875607,,,,
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,Arc Satellite,Telecommunication Service,"189 Hess St N, Hamilton ON L8R 2T1",585,43.264708,-79.875048,,,,
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,The Brain,Bar,"199 James St N, Hamilton ON L8R 2L2",903,43.261915,-79.867016,3.8,25.0,11.0,29.0
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,Bonanza Bakery,Bakery,"100 Murray St E, Hamilton ON L8L 3G4",1005,43.264323,-79.861163,4.2,14.0,5.0,3.0
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,Tim Hortons,"Cafe, Coffee, and Tea House","133 Bay St N (Bay), Hamilton ON L8R 2P5",791,43.262183,-79.872255,3.4,21.0,2.0,8.0
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,St Mary's Church,Church,"146 Park St N (Coulbourne), Hamilton ON L8R 2N3",641,43.262086,-79.869874,,,,
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,Dowsar Marine Supplies Ltd,Retail,"522 James St N, Hamilton ON L8L 1J4",657,43.270518,-79.862813,,,,
Bayfront Park,43.26928827622911,-79.87132698297499,8,24,32,Our Corner,Diner,"496 James St N (at Picton St W), Hamilton ON L8L 1J1",664,43.269592,-79.863213,,,,
