bike_station,name,categories,address,distance,poi_latitude,poi_longitude,ratings,total_ratings,total_tips,total_photos
City Hall,Burrito Boyz,Burrito Restaurant,"66 King St E, Hamilton ON L8N 1A6",596,43.255691,-79.867215,4.2,64.0,16.0,20.0
City Hall,The Pheasant Plucker,Pub,"20 Augusta St (James St.), Hamilton ON L8N 1P7",576,43.25192,-79.870426,4.0,71.0,15.0,23.0
City Hall,Hambrgr,Burger Joint,"49 King William St, Hamilton ON L8R 1A2",619,43.257213,-79.867056,4.2,51.0,13.0,34.0
City Hall,Durand Coffee,Café,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",621,43.251543,-79.878939,4.0,8.0,4.0,19.0
City Hall,Merit Brewing,Bar,"107 James St N (at York Blvd), Hamilton ON L8R 2K6",650,43.25949,-79.867997,4.1,36.0,7.0,101.0
City Hall,August 8,Dim Sum Restaurant,"1 Wilson St (James St.), Hamilton ON L8R 1C4",698,43.259413,-79.866825,4.2,82.0,26.0,27.0
City Hall,Sapporo Japanese Restaurant,Sushi Restaurant,"96 Main St E, Hamilton ON L8N 1G3",690,43.254333,-79.865966,3.9,106.0,39.0,21.0
Bay at Bold,Whitehern Historic House and Garden,Museum,"41 Jackson St W, Hamilton ON L8P 1L3",274,43.254593,-79.87211,4.0,8.0,4.0,46.0
Bay at Bold,One Duke Restaurant & Lounge,American Restaurant,"1 Duke St (at James St. South), Hamilton ON L8P 1W9",363,43.251462,-79.872017,4.3,46.0,20.0,154.0
Bay at Bold,Durand Coffee,Café,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",379,43.251543,-79.878939,4.0,8.0,4.0,19.0
Bay at Bold,The Ship,Pub,"23 Augusta St (Hughson St.), Hamilton ON L8N 1P6",473,43.252066,-79.869987,4.2,101.0,37.0,88.0
Bay at Bold,The Pheasant Plucker,Pub,"20 Augusta St (James St.), Hamilton ON L8N 1P7",464,43.25192,-79.870426,4.0,71.0,15.0,23.0
Bay at Bold,Red Crow Coffee,Café,"211 James St S (Charlton Ave), Hamilton ON L8P 3B2",504,43.250202,-79.871665,4.0,32.0,18.0,28.0
Bay at Bold,Wass Ethiopian Restaurant,Ethiopian Restaurant,"207 James St N (at Forest Ave.), Hamilton ON L8R 2L2",494,43.250254,-79.87172,3.9,16.0,5.0,10.0
Bay at Bold,Hess Village,Neighborhood,Hamilton ON,544,43.258514,-79.877755,4.0,18.0,3.0,9.0
Bay at Bold,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",619,43.259271,-79.877373,4.0,9.0,2.0,6.0
Bay at Bold,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",669,43.259414,-79.878417,4.3,35.0,15.0,8.0
Bay at Bold,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",617,43.259153,-79.877446,3.9,13.0,2.0,7.0
Bay at Bold,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",573,43.258502,-79.878634,3.7,58.0,20.0,36.0
Bay at Bold,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",654,43.259332,-79.878032,4.0,11.0,2.0,13.0
Bay at Bold,Burrito Boyz,Burrito Restaurant,"66 King St E, Hamilton ON L8N 1A6",703,43.255691,-79.867215,4.2,64.0,16.0,20.0
Bay at Bold,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",666,43.259057,-79.879423,4.0,8.0,2.0,19.0
Bay at Bold,Shoppers Drug Mart,Drugstore,"113 Herkimer St (at Caroline St. S), Hamilton ON L8P 2G8",469,43.250249,-79.879044,3.2,1.0,1.0,
Bay at Bold,Hamilton Farmers' Market,Farmers Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",740,43.259041,-79.870193,4.3,90.0,14.0,80.0
Bay at Bold,Queen's Pizza & Wings,Pizzeria,"178 Queen St S (at Duke St.), Hamilton ON L8P 3S7",477,43.253876,-79.881327,3.2,11.0,6.0,2.0
